   0.08170,  -0.19158,  -0.21448,   0.09861,  -0.19695,   0.18414,  -0.14380,  -0.08275,   0.16060,  -0.29768,  -0.50531,   0.25368
   0.19971,  -0.12290,  -0.14709,   0.24329,   0.17822,   0.07861,  -0.36408,  -0.21400,  -0.20609,  -0.51151,  -0.01656,   0.04122
  -0.02505,   0.31970,  -0.41316,  -0.01712,  -0.15614,  -0.10044,   0.24886,   0.23034,   0.33655,  -0.35186,  -0.34020,   0.23955
  -0.01291,  -0.17533,  -0.18012,  -0.00398,  -0.00765,   0.15120,   0.18019,  -0.00110,  -0.23263,   0.17674,  -0.00393,  -0.12749
  -0.24994,  -0.20437,   0.20231,   0.14946,  -0.19468,   0.00236,  -0.25096,  -0.14497,  -0.31907,   0.17982,   0.19653,   0.20808
  -0.31418,   0.29312,  -0.03956,   0.00750,   0.25859,   0.15805,   0.32784,  -0.14075,  -0.32304,  -0.32235,  -0.21462,  -0.34280
  -0.33037,   0.12444,  -0.34890,  -0.22472,  -0.05927,   0.04871,  -0.23746,   0.23310,   0.08941,   0.07314,  -0.27227,  -0.00764
  -0.22223,  -0.33786,   0.10078,   0.16105,  -0.01020,   0.02968,   0.21202,  -0.34404,  -0.34801,  -0.23739,   0.17582,   0.23095
  -0.15839,  -0.05868,   0.11197,  -0.31027,   0.07454,  -0.27358,  -0.00308,  -0.01917,  -0.26940,  -0.28603,  -0.21886,  -0.12774
   0.17775,  -0.29956,   0.19098,   0.02885,  -0.24012,   0.00540,  -0.14230,   0.39283,   0.09224,   0.27310,  -0.40615,   0.27799
   0.09608,   0.10121,   0.25451,  -0.18475,   0.05988,   0.18080,   0.06486,  -0.03243,  -0.03478,  -0.25316,  -0.03386,  -0.61074
  -0.09980,  -0.07081,  -0.40182,   0.07061,   0.24147,   0.00925,   0.07204,  -0.12918,  -0.36894,  -0.36558,  -0.33698,  -0.15678
   0.00254,  -0.11563,   0.10770,   0.16935,   0.18072,  -0.19807,  -0.14071,   0.06078,  -0.15119,   0.35051,  -0.24384,   0.03822
   0.18381,   0.24325,  -0.06939,  -0.02697,  -0.24582,   0.05092,  -0.34156,  -0.09693,  -0.55216,  -0.44211,   0.30373,   0.30551
  -0.38790,   0.16247,  -0.32665,  -0.47421,   0.36357,  -0.22586,  -0.29276,   0.28104,   0.01334,  -0.33347,  -0.40578,   0.01870
   0.31346,  -0.04670,   0.05872,  -0.06848,  -0.19613,  -0.09212,  -0.02816,  -0.15338,  -0.39063,   0.16282,  -0.31925,   0.15209
  -0.25706,   0.21291,  -0.14967,  -0.50562,  -0.06910,  -0.19588,   0.29618,   0.47386,   0.28538,  -0.40056,  -0.07475,  -0.04423
   0.19444,  -0.27413,   0.16279,   0.13155,  -0.07376,  -0.28176,  -0.11042,   0.04142,   0.19007,  -0.30124,  -0.11709,   0.18787
  -0.17993,   0.21000,   0.27290,  -0.20980,   0.16120,   0.24170,  -0.23442,  -0.33919,  -0.47530,  -0.47513,  -0.24271,  -0.19603
   0.11160,   0.03429,  -0.14110,   0.28783,  -0.02183,  -0.17814,  -0.23274,  -0.33256,  -0.19240,   0.29887,   0.30139,  -0.25222
  -0.06252,  -0.39683,   0.18292,   0.32601,   0.23157,   0.10653,   0.14871,  -0.35698,   0.48231,  -0.23297,  -0.37161,  -0.24580
  -0.06264,  -0.38351,   0.22447,  -0.20467,   0.04583,  -0.02127,  -0.22255,   0.04296,   0.23012,  -0.43580,   0.27750,   0.33030
  -0.23670,  -0.16550,  -0.16083,   0.06628,  -0.09367,  -0.14353,  -0.19724,   0.08821,  -0.23926,  -0.23119,   0.14697,  -0.29665
  -0.36907,   0.17625,  -0.02564,  -0.29674,  -0.04594,  -0.18858,  -0.36514,  -0.00372,  -0.19872,  -0.01865,   0.36446,   0.46961
  -0.58480,  -0.25880,  -0.09388,   0.16032,   0.18777,   0.17986,  -0.48456,  -0.25395,  -0.15032,  -0.08221,   0.19495,  -0.19498
  -0.34216,  -0.01738,   0.24824,   0.02053,   0.07627,  -0.06637,   0.01305,  -0.16920,   0.12879,   0.16685,   0.06159,  -0.04643
   0.19512,  -0.22337,  -0.12243,   0.03217,  -0.16847,   0.06498,   0.11810,  -0.24203,  -0.04436,  -0.22889,  -0.11012,  -0.30783
  -0.12357,   0.19832,   0.13049,   0.28062,  -0.03543,  -0.26760,  -0.22285,   0.02609,  -0.17664,  -0.00561,  -0.08767,  -0.24850
   0.06207,  -0.50309,   0.08260,  -0.00541,  -0.13032,   0.14348,   0.30369,  -0.52003,   0.41594,  -0.37434,   0.32877,  -0.21849
   0.09637,  -0.13261,  -0.31184,   0.03345,   0.15915,   0.22796,   0.10713,   0.10134,  -0.19927,  -0.39622,  -0.20246,   0.07246
  -0.14801,  -0.33130,   0.04500,   0.06387,   0.17401,   0.14313,   0.00209,  -0.37722,  -0.09858,  -0.35412,  -0.16347,  -0.26654
  -0.14999,  -0.19676,   0.11384,   0.13247,   0.31419,  -0.29044,  -0.28522,   0.05149,  -0.11618,   0.02687,   0.05837,  -0.06751
   0.13699,   0.35355,   0.17423,   0.00376,   0.22157,  -0.05037,  -0.22229,   0.09318,  -0.37271,  -0.16417,   0.22577,  -0.18180
